@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
79,'2023/12/10 03:24:29:606',1,0.033758,0.318908,0.922995,0,?
80,'2023/12/10 03:24:29:606',1,0.043814,0.321781,0.926586,0,?
81,'2023/12/10 03:24:29:606',1,0.044772,0.320344,0.944303,0,?
82,'2023/12/10 03:24:29:606',1,0.050518,0.317471,0.932093,0,?
83,'2023/12/10 03:24:29:606',1,0.042617,0.314598,0.92491,0,?
84,'2023/12/10 03:24:29:606',1,0.028252,0.307894,0.934726,0,?
85,'2023/12/10 03:24:29:606',1,0.03711,0.294487,0.904081,0,?
86,'2023/12/10 03:24:29:606',1,0.008859,0.279882,0.987638,0,?
87,'2023/12/10 03:24:29:606',1,0.018435,0.2806,0.934247,0,?
88,'2023/12/10 03:24:39:009',2,-0.002873,0.973991,-0.018914,0,?
89,'2023/12/10 03:24:39:009',2,-0.002394,0.981413,-0.101035,0,?
90,'2023/12/10 03:24:39:009',2,-0.016281,0.977343,-0.075178,0,?
91,'2023/12/10 03:24:39:009',2,-0.00431,0.977822,-0.061292,0,?
92,'2023/12/10 03:24:39:009',2,-0.011013,0.976625,-0.035913,0,?
93,'2023/12/10 03:24:39:009',2,-0.009337,0.97854,-0.036871,0,?
94,'2023/12/10 03:24:39:009',2,-0.006464,0.97878,-0.063686,0,?
95,'2023/12/10 03:24:39:009',2,-0.003591,0.979258,-0.060573,0,?
96,'2023/12/10 03:24:39:024',2,-0.007901,0.97878,-0.048123,0,?
97,'2023/12/10 03:24:39:025',2,-0.00431,0.977822,-0.014844,0,?
98,'2023/12/10 03:24:39:025',2,-0.006464,0.976146,-0.025618,0,?
99,'2023/12/10 03:24:39:025',2,-0.007422,0.97854,-0.024181,0,?
100,'2023/12/10 03:24:39:025',2,-0.000958,0.978061,-0.051475,0,?
101,'2023/12/10 03:24:39:025',2,-0.005986,0.977822,-0.049081,0,?
102,'2023/12/10 03:24:39:025',2,-0.007661,0.977582,-0.016041,0,?
103,'2023/12/10 03:24:39:025',2,-0.007422,0.976385,-0.036871,0,?
104,'2023/12/10 03:24:39:025',2,-0.005507,0.980695,-0.048602,0,?
105,'2023/12/10 03:24:39:025',2,-0.005028,0.97878,-0.026576,0,?
106,'2023/12/10 03:24:39:025',2,-0.006464,0.975907,-0.022984,0,?
107,'2023/12/10 03:24:39:025',2,-0.004788,0.978301,-0.025139,0,?
108,'2023/12/10 03:24:39:025',2,-0.006704,0.979498,-0.034237,0,?
109,'2023/12/10 03:24:39:025',2,-0.008619,0.977582,-0.016759,0,?
110,'2023/12/10 03:24:40:225',2,-0.005746,0.97878,-0.03735,0,?
111,'2023/12/10 03:24:40:225',2,-0.005267,0.978061,-0.030885,0,?
112,'2023/12/10 03:24:40:225',2,-0.005986,0.97878,-0.039744,0,?
113,'2023/12/10 03:24:40:225',2,-0.007422,0.979498,-0.018914,0,?
114,'2023/12/10 03:24:40:225',2,-0.005028,0.978061,-0.032801,0,?
115,'2023/12/10 03:24:40:225',2,-0.003831,0.979258,-0.028252,0,?
116,'2023/12/10 03:24:40:225',2,-0.003112,0.977582,-0.028252,0,?
117,'2023/12/10 03:24:40:225',2,-0.006464,0.97854,-0.038547,0,?
118,'2023/12/10 03:24:40:225',2,-0.006704,0.979498,-0.034477,0,?
119,'2023/12/10 03:24:40:225',2,-0.00407,0.978301,-0.026576,0,?
120,'2023/12/10 03:24:40:225',2,-0.007183,0.981413,-0.02059,0,?
121,'2023/12/10 03:24:40:225',2,-0.006704,0.979977,-0.04142,0,?
122,'2023/12/10 03:24:40:225',2,-0.005986,0.976625,-0.033998,0,?
123,'2023/12/10 03:24:40:225',2,-0.010534,0.979258,-0.035195,0,?
124,'2023/12/10 03:24:40:225',2,-0.006464,0.978301,-0.016041,0,?
125,'2023/12/10 03:24:40:225',2,-0.005986,0.977343,-0.016041,0,?
126,'2023/12/10 03:24:40:225',2,-0.010056,0.97878,-0.031603,0,?
127,'2023/12/10 03:24:40:240',2,-0.006464,0.979737,-0.026576,0,?
128,'2023/12/10 03:24:40:240',2,-0.006225,0.977822,-0.027533,0,?
129,'2023/12/10 03:24:40:240',2,-0.009577,0.977104,-0.035195,0,?
130,'2023/12/10 03:24:40:288',2,-0.010534,0.97878,-0.019154,0,?
131,'2023/12/10 03:24:40:351',2,-0.007183,0.979498,-0.031603,0,?
132,'2023/12/10 03:24:40:398',2,-0.006943,0.979258,-0.036871,0,?
133,'2023/12/10 03:24:40:461',2,-0.005986,0.978301,-0.031603,0,?
134,'2023/12/10 03:24:40:525',2,-0.007183,0.979258,-0.015083,0,?
135,'2023/12/10 03:24:40:588',2,-0.008859,0.979258,-0.028491,0,?
136,'2023/12/10 03:24:40:651',2,-0.007422,0.979019,-0.024421,0,?
137,'2023/12/10 03:24:40:699',2,-0.007422,0.978301,-0.02873,0,?
138,'2023/12/10 03:24:40:762',2,-0.009577,0.979019,-0.022505,0,?
139,'2023/12/10 03:24:40:826',2,-0.008859,0.97878,-0.022505,0,?
140,'2023/12/10 03:24:40:888',2,-0.005986,0.978061,-0.013408,0,?
141,'2023/12/10 03:24:40:936',2,-0.00814,0.979498,-0.044772,0,?
142,'2023/12/10 03:24:40:999',2,-0.007901,0.979019,-0.010774,0,?
143,'2023/12/10 03:24:41:063',2,-0.005028,0.97854,-0.028252,0,?
144,'2023/12/10 03:24:41:126',2,-0.006464,0.977343,-0.03735,0,?
145,'2023/12/10 03:24:41:189',2,-0.004549,0.977822,-0.013408,0,?
146,'2023/12/10 03:24:41:253',2,-0.005507,0.979258,-0.036631,0,?
147,'2023/12/10 03:24:41:300',2,-0.006464,0.979498,-0.027533,0,?
148,'2023/12/10 03:24:41:363',2,-0.00814,0.979498,-0.018435,0,?
149,'2023/12/10 03:24:41:428',2,-0.006704,0.97878,-0.020351,0,?
150,'2023/12/10 03:24:41:491',2,-0.007661,0.978061,-0.015083,0,?
151,'2023/12/10 03:24:41:554',2,-0.007183,0.97854,-0.032801,0,?
152,'2023/12/10 03:24:41:604',2,-0.004549,0.977343,-0.013408,0,?
153,'2023/12/10 03:24:41:665',2,-0.006943,0.979498,-0.034477,0,?
154,'2023/12/10 03:24:41:728',2,-0.005986,0.979737,-0.016281,0,?
155,'2023/12/10 03:24:41:792',2,-0.006464,0.978301,-0.011253,0,?
156,'2023/12/10 03:24:41:839',2,-0.005267,0.979977,-0.039504,0,?
157,'2023/12/10 03:24:41:902',2,-0.009337,0.979737,-0.011013,0,?
158,'2023/12/10 03:24:41:965',2,-0.005267,0.977343,-0.027294,0,?
159,'2023/12/10 03:24:42:028',2,-0.009098,0.979258,-0.035913,0,?
160,'2023/12/10 03:24:42:091',2,-0.007183,0.979498,-0.003352,0,?
161,'2023/12/10 03:24:42:138',2,-0.010295,0.980695,-0.033519,0,?
162,'2023/12/10 03:24:42:217',2,-0.008859,0.979258,-0.022984,0,?
163,'2023/12/10 03:24:42:265',2,-0.006704,0.980456,-0.01652,0,?
164,'2023/12/10 03:24:42:328',2,-0.006943,0.978061,-0.0249,0,?
165,'2023/12/10 03:24:42:391',2,-0.00838,0.977822,-0.015323,0,?
166,'2023/12/10 03:24:42:454',2,-0.009098,0.979019,-0.029688,0,?
167,'2023/12/10 03:24:42:506',2,-0.00838,0.977822,-0.019632,0,?
168,'2023/12/10 03:24:42:565',2,-0.007901,0.97878,-0.023463,0,?
169,'2023/12/10 03:24:42:630',2,-0.005507,0.980216,-0.027533,0,?
170,'2023/12/10 03:24:42:691',2,-0.006704,0.978061,-0.003352,0,?
171,'2023/12/10 03:24:42:739',2,-0.005746,0.980456,-0.038547,0,?
172,'2023/12/10 03:24:42:802',2,-0.007901,0.97878,-0.012689,0,?
173,'2023/12/10 03:24:42:865',2,-0.006704,0.978301,-0.023942,0,?
174,'2023/12/10 03:24:42:928',2,-0.005267,0.977104,-0.032322,0,?
175,'2023/12/10 03:24:42:991',2,-0.005746,0.977822,-0.014844,0,?
176,'2023/12/10 03:24:43:038',2,-0.002634,0.97878,-0.032082,0,?
177,'2023/12/10 03:24:43:117',2,-0.004788,0.97854,-0.02059,0,?
178,'2023/12/10 03:24:43:165',2,-0.004788,0.979977,-0.016999,0,?
179,'2023/12/10 03:24:43:228',2,-0.007901,0.980216,-0.017478,0,?
180,'2023/12/10 06:27:08:013',3,171.086334,94.818893,21.757717,0,1
181,'2023/12/10 06:27:08:032',3,170.932953,94.771713,21.96209,0,1
182,'2023/12/10 06:27:08:116',3,171.0737,94.709068,21.894142,0,1
183,'2023/12/10 06:27:08:152',3,170.87999,94.669662,22.138079,0,1
184,'2023/12/10 06:27:08:217',3,170.855499,94.62912,22.212555,0,1
185,'2023/12/10 06:27:08:321',3,170.754532,94.602188,22.347431,0,1
186,'2023/12/10 06:27:08:332',3,170.622681,94.567268,22.511557,0,1
187,'2023/12/10 06:27:08:422',3,170.76326,94.523483,22.416567,0,1
188,'2023/12/10 06:27:08:451',3,170.563431,94.497002,22.646708,0,1
189,'2023/12/10 06:27:08:524',3,170.654282,94.476021,22.59967,0,1
190,'2023/12/10 06:27:08:628',3,170.499573,94.459587,22.787041,0,1
191,'2023/12/10 06:27:08:634',3,170.430389,94.445709,22.887789,0,1
192,'2023/12/10 06:27:08:704',3,170.764374,94.430588,22.593872,0,1
193,'2023/12/10 06:27:08:842',3,171.065948,94.421799,22.331369,0,1
194,'2023/12/10 06:27:08:843',3,171.368195,94.414124,22.06955,0,1
195,'2023/12/10 06:27:08:942',3,171.806854,94.397957,21.675947,0,1
196,'2023/12/10 06:27:08:943',3,172.197937,94.393738,21.332506,0,1
197,'2023/12/10 06:27:09:037',3,172.664551,94.383591,20.908712,0,1
198,'2023/12/10 06:27:09:053',3,173.039093,94.38562,20.556301,0,1
199,'2023/12/10 06:27:09:143',3,173.512024,94.372253,20.111187,0,1
200,'2023/12/10 06:27:09:172',3,174.072678,94.34745,19.585247,0,1
201,'2023/12/10 06:27:09:242',3,174.394455,94.316689,19.299551,0,1
202,'2023/12/10 06:27:09:344',3,174.95961,94.27729,18.780943,0,1
203,'2023/12/10 06:27:09:352',3,174.996521,94.247093,18.771561,0,1
204,'2023/12/10 06:27:09:446',3,175.512085,94.207405,18.302917,0,1
205,'2023/12/10 06:27:09:473',3,175.825714,94.187202,18.018766,0,1
206,'2023/12/10 06:27:09:549',3,176.203445,94.172386,17.66851,0,1
207,'2023/12/10 06:27:09:652',3,176.500412,94.149429,17.399122,0,1
208,'2023/12/10 06:27:09:652',3,176.706818,94.135994,17.219471,0,1
209,'2023/12/10 06:27:09:755',3,177.023178,94.108376,16.932665,0,1
210,'2023/12/10 06:27:09:774',3,177.30545,94.089607,16.673267,0,1
211,'2023/12/10 06:27:09:856',3,177.352737,94.065903,16.642658,0,1
212,'2023/12/10 06:27:09:892',3,177.67038,94.027367,16.360506,0,1
213,'2023/12/10 06:27:09:959',3,177.59317,94.011017,16.455349,0,1
214,'2023/12/10 06:27:10:061',3,177.756332,93.984627,16.325455,0,1
215,'2023/12/10 06:27:10:073',3,177.812195,93.956497,16.296001,0,1
216,'2023/12/10 06:27:10:163',3,177.713333,93.944496,16.410912,0,1
217,'2023/12/10 06:27:10:193',3,177.846527,93.943047,16.306398,0,1
218,'2023/12/10 06:27:10:266',3,177.836197,93.946564,16.331663,0,1
219,'2023/12/10 06:27:10:369',3,178.273392,93.956367,15.904897,0,1
220,'2023/12/10 06:27:10:375',3,178.769974,93.967857,15.410488,0,1
221,'2023/12/10 06:27:10:471',3,179.305252,93.996445,14.879037,0,1
222,'2023/12/10 06:27:10:494',3,179.710693,94.022865,14.47875,0,1
223,'2023/12/10 06:27:10:551',3,180.146561,94.045425,14.047601,0,1
224,'2023/12/10 06:27:10:676',3,180.449341,94.057251,13.740533,0,1
225,'2023/12/10 06:27:10:676',3,180.806274,94.07164,13.375742,0,1
226,'2023/12/10 06:27:10:779',3,180.985794,94.089073,13.176371,0,1
227,'2023/12/10 06:27:10:793',3,181.293121,94.098801,12.849386,0,1
228,'2023/12/10 06:27:10:880',3,181.522293,94.102974,12.593997,0,1
229,'2023/12/10 06:27:10:983',3,181.705627,94.106308,12.389686,0,1
230,'2023/12/10 06:27:10:984',3,182.341095,94.100021,11.73667,0,1
231,'2023/12/10 06:27:11:088',3,182.985535,94.114296,11.06221,0,1
232,'2023/12/10 06:27:11:091',3,183.676758,94.113243,10.356001,0,1
233,'2023/12/10 06:27:11:153',3,184.438492,94.10376,9.589267,0,1
234,'2023/12/10 06:27:11:289',3,185.049454,94.088379,8.97246,0,1
235,'2023/12/10 06:27:11:291',3,186.188324,94.06636,7.855364,0,1
236,'2023/12/10 06:27:11:392',3,187.051331,94.060791,7.017316,0,1
237,'2023/12/10 06:27:11:393',3,187.870987,94.036705,6.226227,0,1
238,'2023/12/10 06:27:11:494',3,188.689056,93.992844,5.455287,0,1
239,'2023/12/10 06:27:11:511',3,189.197128,93.934647,5.007164,0,1
240,'2023/12/10 06:27:11:597',3,189.480362,93.885735,4.776178,0,1
241,'2023/12/10 06:27:11:700',3,189.439224,93.83709,4.86336,0,1
242,'2023/12/10 06:27:11:701',3,189.493103,93.800667,4.854408,0,1
243,'2023/12/10 06:27:11:752',3,189.494125,93.780006,4.893301,0,1
244,'2023/12/10 06:27:11:812',3,189.594284,93.771011,4.827722,0,1
245,'2023/12/10 06:27:11:904',3,189.692108,93.769638,4.758832,0,1
246,'2023/12/10 06:27:11:932',3,189.831589,93.771202,4.651028,0,1
247,'2023/12/10 06:27:12:006',3,189.919373,93.77845,4.596669,0,1
248,'2023/12/10 06:27:12:109',3,189.934219,93.78373,4.60928,0,1
249,'2023/12/10 06:27:12:112',3,189.946854,93.786896,4.621799,0,1
250,'2023/12/10 06:27:12:213',3,190.154739,93.771507,4.444626,0,1
251,'2023/12/10 06:27:12:232',3,190.395187,93.761978,4.23209,0,1
252,'2023/12/10 06:27:12:314',3,190.486984,93.749763,4.154878,0,1
253,'2023/12/10 06:27:12:416',3,190.869659,93.739639,3.792474,0,1
254,'2023/12/10 06:27:12:416',3,191.045273,93.740089,3.62779,0,1
255,'2023/12/10 06:27:12:472',3,191.754059,93.736839,2.953981,0,1
256,'2023/12/10 06:27:12:624',3,192.694473,93.736557,2.057035,0,1
257,'2023/12/10 06:27:12:625',3,193.405411,93.72953,1.375908,0,1
258,'2023/12/10 06:27:12:652',3,194.272018,93.716423,0.527163,0,1
259,'2023/12/10 06:27:12:724',3,194.851181,93.715164,-0.040813,0,1
260,'2023/12/10 06:27:12:826',3,195.725586,93.721443,-0.880344,0,1
261,'2023/12/10 06:27:12:833',3,196.384094,93.728928,-1.510531,0,1
262,'2023/12/10 06:27:12:928',3,196.988281,93.743454,-2.09453,0,1
263,'2023/12/10 06:27:12:952',3,197.762009,93.74958,-2.843579,0,1
264,'2023/12/10 06:27:13:031',3,198.216415,93.759232,-3.284486,0,1
265,'2023/12/10 06:27:13:133',3,198.723221,93.763229,-3.769563,0,1
266,'2023/12/10 06:27:13:133',3,198.983658,93.769241,-4.020021,0,1
267,'2023/12/10 06:27:13:236',3,199.205032,93.77037,-4.231926,0,1
