@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
197,'2023/12/10 03:23:54:968',3,120.091698,-0.59795,-1.350075,0,?
198,'2023/12/10 03:23:55:011',3,120.091766,-0.609677,-1.391067,0,?
199,'2023/12/10 03:23:55:075',3,120.102394,-0.616646,-1.43431,0,?
200,'2023/12/10 03:23:55:171',3,120.120247,-0.619306,-1.490173,0,?
201,'2023/12/10 03:23:55:187',3,120.124252,-0.611732,-1.549626,0,?
202,'2023/12/10 03:23:55:266',3,120.128487,-0.609945,-1.607016,0,?
203,'2023/12/10 03:23:55:313',3,120.110435,-0.634104,-1.657501,0,?
204,'2023/12/10 03:23:55:377',3,120.08271,-0.656878,-1.698282,0,?
205,'2023/12/10 03:23:55:473',3,120.066711,-0.677262,-1.731156,0,?
206,'2023/12/10 03:23:55:489',3,120.056343,-0.693709,-1.768232,0,?
207,'2023/12/10 03:23:55:568',3,120.040268,-0.715366,-1.797005,0,?
208,'2023/12/10 03:23:55:600',3,120.00795,-0.766507,-1.834983,0,?
209,'2023/12/10 03:23:55:680',3,119.97905,-0.804087,-1.868431,0,?
210,'2023/12/10 03:23:55:728',3,119.957375,-0.829491,-1.900213,0,?
211,'2023/12/10 03:23:55:792',3,119.933731,-0.849826,-1.9269,0,?
212,'2023/12/10 03:23:55:887',3,119.902275,-0.869854,-1.946698,0,?
213,'2023/12/10 03:23:55:919',3,119.873047,-0.87781,-1.965675,0,?
214,'2023/12/10 03:23:55:982',3,119.842957,-0.879659,-1.99874,0,?
215,'2023/12/10 03:23:56:029',3,119.811256,-0.866642,-2.024584,0,?
216,'2023/12/10 03:24:00:231',4,104.448898,102.082916,81.804329,0,?
217,'2023/12/10 03:24:00:295',4,105.013924,102.086052,81.910919,0,?
218,'2023/12/10 03:24:00:389',4,105.531654,102.087044,82.009895,0,?
219,'2023/12/10 03:24:00:405',4,105.775803,102.189529,82.3564,0,?
220,'2023/12/10 03:24:00:484',4,105.998795,102.328331,82.742065,0,?
221,'2023/12/10 03:24:00:532',4,106.084496,102.426872,83.208015,0,?
222,'2023/12/10 03:24:00:594',4,106.190926,102.49263,83.660767,0,?
223,'2023/12/10 03:24:00:641',4,106.244492,102.547157,84.082008,0,?
224,'2023/12/10 03:24:00:705',4,106.415382,102.604645,84.427299,0,?
225,'2023/12/10 03:24:00:799',4,106.538795,102.674446,84.842758,0,?
226,'2023/12/10 03:24:00:831',4,106.656784,102.707489,85.221634,0,?
227,'2023/12/10 03:24:00:894',4,106.835899,102.748642,85.522438,0,?
228,'2023/12/10 03:24:00:941',4,107.190056,102.76741,85.653961,0,?
229,'2023/12/10 03:24:01:004',4,107.565605,102.756813,85.710762,0,?
